platform,release_date,game_name,db_name,year
PS3,17-May-11,Battle vs. Chess,Battle vs. Chess,2011
X360,5-Dec-16,Battle vs. Chess,Battle vs. Chess,2016
PC,3-May-11,The History Channel: Great Battles Medieval,The History Channel: Great Battles - Medieval,2011
PS3,3-May-11,The History Channel: Great Battles Medieval,The History Channel: Great Battles - Medieval,2011
X360,3-May-11,The History Channel: Great Battles Medieval,The History Channel: Great Battles - Medieval,2011
PC,26-Oct-16,Clockwork Empires,Clockwork Empires,2016
PS,9-Jul-98,B.L.U.E. Legend of Water,B.L.U.E.: Legend of Water,1998
PC,10-Oct-19,Grid,GRID,2019
PS2,25-Sep-03,NHL Hitz Pro,NHL Hitz Pro,2003
XB,25-Sep-03,NHL Hitz Pro,NHL Hitz Pro,2003
GC,25-Sep-03,NHL Hitz Pro,NHL Hitz Pro,2003
Wii,18-Dec-07,Luxor Pharaoh's Challenge,Luxor: Pharaoh's Challenge,2007
PS2,18-Dec-07,Luxor Pharaoh's Challenge,Luxor: Pharaoh's Challenge,2007
DS,15-Jan-08,Luxor Pharaoh's Challenge,Luxor: Pharaoh's Challenge,2008
PSP,20-Nov-07,Luxor Pharaoh's Challenge,Luxor: Pharaoh's Challenge,2007
PS2,12-Jan-06,Sega Rally 2006,Sega Rally 2006,2006
Wii,4-Mar-08,Major League Baseball 2K8,Major League Baseball 2K8,2008
PS2,4-Mar-08,Major League Baseball 2K8,Major League Baseball 2K8,2008
PS3,4-Mar-08,Major League Baseball 2K8,Major League Baseball 2K8,2008
X360,4-Mar-08,Major League Baseball 2K8,Major League Baseball 2K8,2008
PSP,4-Mar-08,Major League Baseball 2K8,Major League Baseball 2K8,2008
GBA,12-Mar-04,Sabre Wulf,Sabre Wulf,2004
Wii,19-Mar-09,Broken Sword: Shadow of the Templars - The Director's Cut,Swords,2009
PC,20-Mar-09,Broken Sword: Shadow of the Templars - The Director's Cut,Swords,2009
3DS,19-Jan-12,Beyond the Labyrinth,Beyond the Labyrinth,2012
DS,23-Aug-07,Bikkuriman Daijiten,Bikkuriman Daijiten,2007
PSP,11-Jun-10,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,2010
PC,12-Apr-11,World of Tanks,World of Tanks,2011
X360,12-Apr-11,World of Tanks,World of Tanks,2011
PS2,18-Nov-02,Tom and Jerry in War of the Whiskers,Tom and Jerry in War of the Whiskers,2002
XB,5-Jan-03,Tom and Jerry in War of the Whiskers,Tom and Jerry in War of the Whiskers,2003
GC,6-Dec-03,Tom and Jerry in War of the Whiskers,Tom and Jerry in War of the Whiskers,2003
